id,status,origin,area,concept_id,daily_id,type,difficulty,question,option1,option2,option3,option4,answer,step1_core,step2_detail,step3_trap,option_reason1,option_reason2,option_reason3,option_reason4,source_refs,memory_hook,legacy_daily_id,active_daily_id,learning_pool,fact_id
QRC1-011,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-04,D41,숫자형,2,금고가 유지해야 하는 총자산대비순자본비율의 최소 기준은?,0% 이상,4% 이상,8% 이상,2% 이상,2,총자산대비순자본비율은 4% 이상이 기본 기준입니다.,이 비율은 부실우려금고 지정 등 다른 감독조치와도 연결되므로 단순 숫자 암기보다 의미를 함께 기억해야 합니다.,상근임원기준의 “0% 이상”과 경영건전성 비율의 “4% 이상”을 혼동하기 쉽습니다.,오답: 0%는 상근임원기준과 연결되는 숫자입니다.,정답입니다.,오답입니다.,오답입니다.,새마을금고 감독기준 제20조 (경영건전성 비율),건전성 4 / 상근임원 0,D41,D03,QUICK,
QRC1-012,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-04,D41,비율형,2,일반적인 대손충당금비율 유지기준은?,100% 이상,80% 이상,130% 이상,90% 이상,1,일반적인 대손충당금비율 기준은 100% 이상입니다.,다만 건설업 또는 부동산업 대출 중 일정 건전성 분류에 대해서는 강화된 130% 기준이 적용될 수 있으므로 예외를 함께 구별해야 합니다.,100%와 130%를 무조건 하나로 외우면 안 됩니다. 문제에서 업종과 건전성 분류 조건을 확인해야 합니다.,정답입니다.,오답입니다.,오답: 130%는 일정 건설업·부동산업 대출에 대한 강화기준입니다.,오답입니다.,새마을금고 감독기준 제20조 (경영건전성 비율),기본 100 / 특정업종 130,D41,D03,QUICK,
QRC1-013,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-04,D41,경계값형,3,직전 사업연도 말 자산총액이 700억원인 금고의 유동성비율 최소 기준은?,100% 이상,120% 이상,80% 이상,90% 이상,4,"자산총액 300억원 이상 1,000억원 미만 금고는 유동성비율 90% 이상입니다.","일반 기준은 100%지만 자산규모에 따라 완화기준이 있습니다. 300억원 미만은 80%, 300억원 이상 1,000억원 미만은 90%입니다.","300억원과 1,000억원의 경계 구간을 정확히 읽어야 합니다.",오답: 일반 기준입니다.,오답입니다.,오답: 300억원 미만 금고 기준입니다.,정답입니다.,새마을금고 감독기준 제20조 (경영건전성 비율),<300=80 / 300~1000=90 / 그 외=100,D41,D03,FOCUS,
QRC1-014,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-04,D41,비율형,3,직전 반기 말 주택담보대출 분할상환비율이 25%인 금고의 예대율 최고한도는?,110%,80%,90%,100%,3,분할상환비율 20% 이상 30% 미만이면 예대율 최고한도는 90%입니다.,예대율 한도는 주택담보대출 분할상환비율이 높아질수록 80% → 90% → 100%로 높아집니다.,20%와 30% 경계에서 “이상/미만”을 확인해야 합니다.,오답입니다.,오답: 20% 미만 구간입니다.,정답입니다.,오답: 30% 이상 구간입니다.,새마을금고 감독기준 제20조 (경영건전성 비율),분할상환 20미만/20~30/30이상 → 80/90/100,D41,D03,FOCUS,
QRC1-015,RELEASE_READY_V09,SOURCE_REDESIGN_V09,건전성·경영실태평가,PRU-04,D41,예외형,3,예대율 최고한도 적용 제외 여부를 가르는 대출금 총액 기준은?,500억원 미만,200억원 미만,300억원 미만,100억원 미만,2,정답: 200억원 미만,새마을금고 감독기준 제20조 (경영건전성 비율) 기준: 직전 분기 중 분기 말 월 기준 대출금 총액이 200억원 미만인 금고는 예대율 최고한도 적용에서 제외됩니다.,조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,오답: 공식자료의 기준은 「200억원 미만」입니다.,정답: 직전 분기 중 분기 말 월 기준 대출금 총액이 200억원 미만인 금고는 예대율 최고한도 적용에서 제외됩니다.,오답: 공식자료의 기준은 「200억원 미만」입니다.,오답: 공식자료의 기준은 「200억원 미만」입니다.,새마을금고 감독기준 제20조 (경영건전성 비율),200억원 미만,D41,D03,FOCUS,
QRC1-016,RELEASE_READY_V09,SOURCE_REDESIGN_V09,건전성·경영실태평가,PRU-05,D42,열거형,2,경영실태평가의 5개 부문에 포함되지 않는 것은?,총자산대비순자본비율,자산건전성,경영관리능력,자본적정성,1,정답: 총자산대비순자본비율,새마을금고 감독기준 제22조 (경영실태분석 및 평가) | 감독기준 [별표 1] 경영실태평가 부문별 평가항목 기준: 경영실태평가의 5개 부문은 자본적정성·자산건전성·경영관리능력·수익성·유동성입니다. 총자산대비순자본비율은 공식 계량지표이지만 5개 부문 명칭 자체는 아닙니다.,조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,정답: 경영실태평가의 5개 부문은 자본적정성·자산건전성·경영관리능력·수익성·유동성입니다. 총자산대비순자본비율은 공식 계량지표이지만 5개 부문 명칭 자체는 아닙니다.,오답: 공식자료의 기준은 「총자산대비순자본비율」입니다.,오답: 공식자료의 기준은 「총자산대비순자본비율」입니다.,오답: 공식자료의 기준은 「총자산대비순자본비율」입니다.,새마을금고 감독기준 제22조 (경영실태분석 및 평가) | 감독기준 [별표 1] 경영실태평가 부문별 평가항목,총자산대비순자본비율,D42,D04,QUICK,
QRC1-017,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-05,D42,등급형,2,경영실태평가의 등급과 명칭 연결로 옳은 것은?,1등급 위험,5등급 양호,2등급 취약,3등급 보통,4,3등급은 “보통”입니다.,"경영실태평가는 1등급 우수, 2등급 양호, 3등급 보통, 4등급 취약, 5등급 위험의 5단계입니다.",숫자가 커질수록 상태가 나빠진다는 방향성을 기억하면 혼동을 줄일 수 있습니다.,오답: 1등급은 우수입니다.,오답: 5등급은 위험입니다.,오답: 2등급은 양호입니다.,정답입니다.,새마을금고 감독기준 제22조 (경영실태분석 및 평가) | 감독기준 [별표 5] 경영실태평가등급별 정의,1우-2양-3보-4취-5위,D42,D04,QUICK,
QRC1-018,RELEASE_READY_V09,SOURCE_REDESIGN_V09,건전성·경영실태평가,PRU-05,D43,주기형,3,금고의 자체 경영실태 계량평가는 언제 기준으로 실시하는가?,반기 말,사업연도 말,매월 말,매 분기 말,3,정답: 매월 말,새마을금고 감독기준 시행세칙 제8조 (경영실태평가) 기준: 금고는 매월 말 기준으로 계량평가 항목에 의한 자체 경영실태평가를 실시합니다.,조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,오답: 공식자료의 기준은 「매월 말」입니다.,오답: 공식자료의 기준은 「매월 말」입니다.,정답: 금고는 매월 말 기준으로 계량평가 항목에 의한 자체 경영실태평가를 실시합니다.,오답: 공식자료의 기준은 「매월 말」입니다.,새마을금고 감독기준 시행세칙 제8조 (경영실태평가),매월 말,D43,D04,QUICK,
QRC1-019,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-05,D43,등급조정형,3,월별 계량평가등급이 최근 검사 때보다 몇 단계 이상 악화되면 조정 판단 사유인가?,4단계,2단계,3단계,1단계,2,2단계 이상 악화되면 등급 조정여부 판단 사유가 됩니다.,시행세칙 제10조는 월별 계량평가가 최근 검사·현지조사 종합평가 산정 당시의 계량평가보다 2단계 이상 악화된 경우 등을 조정 판단 사유로 둡니다.,“2단계 이상 악화”와 “2분기 연속 낮음”은 서로 다른 별도 사유입니다.,오답입니다.,정답입니다.,오답입니다.,오답입니다.,새마을금고 감독기준 시행세칙 제10조 (경영실태평가등급 조정),2단계 / 2분기,D43,D04,FOCUS,
QRC1-020,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-05,D43,예외형,3,계량평가 기초자료 부족으로 평가가 불가능하면 해당 항목 등급은?,1등급,5등급,4등급,3등급,2,자료 미제출 또는 불충분으로 계량평가가 불가능한 해당 항목은 5등급으로 평가합니다.,평가 불가능하다고 해서 평가를 유보하는 것이 아니라 해당 항목에 5등급을 부여하는 규정입니다.,“평가 제외”라는 선택지가 나오면 주의해야 합니다.,오답입니다.,정답입니다.,오답입니다.,오답입니다.,새마을금고 감독기준 시행세칙 제10조 (경영실태평가등급 조정),자료 부족 = 해당 항목 5등급,D43,D04,FOCUS,
QRC1-021,CONTENT_QA_PASS_RC1,GOLD_RC1,여유자금·유가증권·리스크,INV-02,D48,기간형,2,시행세칙 별표 1에 따르면 국채·지방채·특수채의 잔존만기는 얼마를 초과할 수 없는가?,3년,5년,10년,20년,3,국채·지방채·특수채는 잔존만기 10년 초과가 불가합니다.,증권 운용한도는 상품별 신용등급·만기·총한도·동일종목한도를 함께 봐야 합니다.,무보증채의 5년 기준과 국채 등의 10년 기준을 바꾸어 출제하기 쉽습니다.,오답입니다.,오답: 일반 무보증채 만기와 혼동한 값입니다.,정답입니다.,오답입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,국지특 10년,D48,D02,QUICK,
QRC1-022,CONTENT_QA_PASS_RC1,GOLD_RC1,여유자금·유가증권·리스크,INV-02,D48,신용등급형,3,일반 무보증채의 기본 투자요건으로 옳은 것은?,"신용등급 BBB- 이상, 10년 이하","신용등급 AA- 이상, 5년 이하만 가능","신용등급 A+ 이상, 10년 이하","신용등급 A- 이상, 5년 이하",4,"일반 무보증채는 기본적으로 신용등급 A- 이상, 5년 이하입니다.",특정업종에는 더 엄격한 AA- 이상 및 3년 초과 불가 기준이 적용될 수 있습니다.,일반 기준과 특정업종 강화기준을 분리해서 기억해야 합니다.,오답입니다.,오답: 특정업종 강화기준과 섞인 선택지입니다.,오답입니다.,정답입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,일반 A- / 5년,D48,D02,FOCUS,
QRC1-023,CONTENT_QA_PASS_RC1,GOLD_RC1,여유자금·유가증권·리스크,INV-02,D48,예외형,3,시행세칙 별표 1의 “특정업종” 무보증채 기준으로 옳은 것은?,AA- 이상 가능하며 3년 초과는 불가,A- 이상이면 10년까지 가능,BBB 이상이면 기간 제한 없음,A+ 이상이면 7년까지 가능,1,특정업종은 AA- 이상 가능하고 3년 초과가 불가합니다.,"특정업종은 여신전문금융회사(중앙회 자회사 제외), 대부(중개)업, 상호저축은행, 건설, 조선, 석유화학, 해운업, 증권회사 등으로 별표에서 정의합니다.",일반 무보증채 A-/5년과 특정업종 AA-/3년을 짝으로 암기하면 좋습니다.,정답입니다.,오답입니다.,오답입니다.,오답입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,특정업종 AA- / 3년,D48,D02,FOCUS,
QRC1-024,RELEASE_READY_V09,SOURCE_REDESIGN_V09,여유자금·유가증권·리스크,INV-02,D48,계산형,3,사채권 총운용한도 산정에서 최종 적용하는 금액은?,두 기준 중 큰 금액,두 기준 중 작은 금액,운용기준액의 60%만,자산총액의 30%만,2,정답: 두 기준 중 작은 금액,감독기준 시행세칙 [별표 1] 증권 등의 운용한도 기준: 자산총액의 30%와 예치금(상환준비금 제외)+유가증권 총액의 60%를 계산하여 작은 금액을 적용합니다.,조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,오답: 공식자료의 기준은 「두 기준 중 작은 금액」입니다.,정답: 자산총액의 30%와 예치금(상환준비금 제외)+유가증권 총액의 60%를 계산하여 작은 금액을 적용합니다.,오답: 공식자료의 기준은 「두 기준 중 작은 금액」입니다.,오답: 공식자료의 기준은 「두 기준 중 작은 금액」입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,두 기준 중 작은 금액,D48,D02,FOCUS,
QRC1-025,CONTENT_QA_PASS_RC1,GOLD_RC1,여유자금·유가증권·리스크,INV-02,D48,비율형,3,A0 이하 사채권의 총한도는 사채권 총한도 내에서 자기자본의 얼마인가?,15%,10%,20%,30%,3,A0 이하 사채권은 사채권 총한도 내에서 자기자본의 20%입니다.,신용등급이 낮아질수록 별도의 한도 제한이 붙는 구조로 이해하면 좋습니다.,동일종목한도 10%와 A0 이하 총한도 20%를 혼동하기 쉽습니다.,오답입니다.,오답: 동일종목한도와 혼동하기 쉽습니다.,정답입니다.,오답입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,A0 이하 총 20%,D48,D02,FOCUS,
QRC1-026,CONTENT_QA_PASS_RC1,GOLD_RC1,여유자금·유가증권·리스크,INV-02,D48,동일종목형,3,일반적인 사채권 동일증권(종목) 한도의 기본 형태로 옳은 것은?,자기자본 20%와 20억원 중 큰 금액,자기자본 30% 단일 기준,자산총액 10%와 20억원 중 큰 금액,자기자본 10%와 20억원 중 작은 금액,4,일반 동일종목한도는 자기자본 10%와 20억원 중 작은 금액이 기본입니다.,그룹별 의결 등 별도 규정이 있으므로 문제에서 일반기준인지 특정 그룹인지 확인해야 합니다.,총한도와 동일종목한도를 섞지 마십시오.,오답입니다.,오답입니다.,오답입니다.,정답입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,"동일종목 = 10% vs 20억, 작은 쪽",D48,D02,FOCUS,
QRC1-027,RELEASE_READY_V09,SOURCE_REDESIGN_V09,여유자금·유가증권·리스크,INV-02,D48,상품요건형,3,ABS 등의 기본 최소 신용평가등급은?,AA0 이상,AA- 이상,A- 이상,A0 이상,1,정답: AA0 이상,"감독기준 시행세칙 [별표 1] 증권 등의 운용한도 기준: ABS 등은 선순위 공모형으로 신용평가등급 AA0 이상이어야 하며, 부동산 또는 파생상품 연계 제한도 함께 적용됩니다.",조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,"정답: ABS 등은 선순위 공모형으로 신용평가등급 AA0 이상이어야 하며, 부동산 또는 파생상품 연계 제한도 함께 적용됩니다.",오답: 공식자료의 기준은 「AA0 이상」입니다.,오답: 공식자료의 기준은 「AA0 이상」입니다.,오답: 공식자료의 기준은 「AA0 이상」입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,AA0 이상,D48,D05,FOCUS,
QRC1-028,CONTENT_QA_PASS_RC1,GOLD_RC1,여유자금·유가증권·리스크,INV-02,D48,상품요건형,3,MBS의 기본 투자요건으로 옳은 것은?,A- 이상이면 파생상품 연계 가능,AA0 이상이고 파생상품과 불연계,"BBB+ 이상, 잔존만기 제한 없음",신용등급 제한 없음,2,"MBS는 신용등급 AA0 이상, 파생상품 불연계가 기본 요건입니다.",MBS 총한도는 자기자본의 20%이고 동일종목한도는 자기자본 10%와 20억원 중 작은 금액입니다.,ABS와 MBS의 문구를 비슷하게 보되 세부 연계 조건을 확인해야 합니다.,오답입니다.,정답입니다.,오답입니다.,오답입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,MBS AA0 + 파생 불연계,D48,D05,FOCUS,
QRC1-029,RELEASE_READY_V09,SOURCE_REDESIGN_V09,여유자금·유가증권·리스크,INV-02,D48,금지상품형,2,집합투자증권에서 ETF·지분증권·파생상품 투자비중 상한은?,50% 이하,10% 이하,30% 이하,20% 이하,3,정답: 30% 이하,감독기준 시행세칙 [별표 1] 증권 등의 운용한도 기준: 해당 집합투자증권에서 지분증권·ETF·파생상품 투자는 집합투자기구재산의 30% 이하이어야 합니다.,조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,오답: 공식자료의 기준은 「30% 이하」입니다.,오답: 공식자료의 기준은 「30% 이하」입니다.,정답: 해당 집합투자증권에서 지분증권·ETF·파생상품 투자는 집합투자기구재산의 30% 이하이어야 합니다.,오답: 공식자료의 기준은 「30% 이하」입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,30% 이하,D48,D05,FOCUS,
QRC1-030,CONTENT_QA_PASS_RC1,GOLD_RC1,여유자금·유가증권·리스크,INV-02,D48,기준일형,2,증권 운용한도의 자산총액·자기자본·예치금·유가증권 및 기준금액은 원칙적으로 어느 시점 기준인가?,전년도 말 기준,전월 말 기준,당일 장중 기준,최근 3개년 평균,1,별표 1은 이들 금액을 전년도 말 기준으로 봅니다.,또한 금액은 재무상태표의 장부금액 기준임을 함께 명시합니다.,전월 말과 전년도 말을 혼동하지 않아야 합니다.,정답입니다.,오답입니다.,오답입니다.,오답입니다.,감독기준 시행세칙 [별표 1] 증권 등의 운용한도,운용한도 기준금액 = 전년도 말 장부금액,D48,D05,FOCUS,
QRC1-031,RELEASE_READY_V09,SOURCE_REDESIGN_V09,회원·출자,MEM-01,D05,자격형,2,지역금고 회원의 지역 요건으로 맞는 것은?,법인만 가입,출자좌수만 충족,업무구역 밖 거주만,업무구역에 주소·거소 또는 생업,4,정답: 업무구역에 주소·거소 또는 생업,새마을금고법 제9조 (회원과 자본금) 기준: 지역금고 회원은 정관으로 정한 업무구역에 주소·거소가 있거나 생업에 종사하는 자 등 법정 요건을 충족해야 합니다.,조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,오답: 공식자료의 기준은 「업무구역에 주소·거소 또는 생업」입니다.,오답: 공식자료의 기준은 「업무구역에 주소·거소 또는 생업」입니다.,오답: 공식자료의 기준은 「업무구역에 주소·거소 또는 생업」입니다.,정답: 지역금고 회원은 정관으로 정한 업무구역에 주소·거소가 있거나 생업에 종사하는 자 등 법정 요건을 충족해야 합니다.,새마을금고법 제9조 (회원과 자본금),업무구역에 주소·거소 또는 생업,D05,D01,FOCUS,
QRC1-032,CONTENT_QA_PASS_RC1,GOLD_RC1,회원·출자,MEM-01,D05,숫자형,1,한 금고의 회원 수는 최소 몇 명 이상이어야 하는가?,500명,200명,100명,50명,3,한 금고의 회원 수는 100명 이상입니다.,설립 발기인 수 등 다른 숫자와 구별해야 합니다.,발기인 50명과 회원 수 100명을 바꾸어 내는 문제가 흔한 형태입니다.,오답입니다.,오답입니다.,정답입니다.,오답: 발기인 수와 혼동하기 쉽습니다.,새마을금고법 제9조 (회원과 자본금),발기인 50 / 회원 100,D05,D01,QUICK,
QRC1-033,CONTENT_QA_PASS_RC1,GOLD_RC1,회원·출자,MEM-03,D07,비율형,2,한 회원이 가질 수 있는 출자좌수의 최고한도는 총출자좌수의 몇 퍼센트를 초과할 수 없는가?,10%,15%,20%,5%,2,한 회원의 최고 출자좌수 한도는 총출자좌수의 15%입니다.,"출자 1좌의 금액은 정관으로 정하지만, 개인별 최고한도는 법에서 총출자좌수의 15%를 넘을 수 없도록 합니다.",“자기자본 15%”가 아니라 “총출자좌수 15%”입니다.,오답입니다.,정답입니다.,오답입니다.,오답입니다.,새마을금고법 제9조 (회원과 자본금),출자 최고 15%,D07,D01,QUICK,
