id,status,origin,concept_id,daily_id,type,difficulty,question,option1,option2,option3,option4,answer,step1_core,step2_detail,step3_trap,source_refs,memory_hook,fact_id
QDBR-014,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-03,RESERVE,사례·적용형,4,추정손실 분류채권 8천만원의 필요적립액은?,8천만원,800만원,1천6백만원,4천만원,1,추정손실 100%,근거 사실 F014를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,추정손실 100%,F014
QDBR-015,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-03,RESERVE,사례·적용형,4,미사용약정 1억원에 적용하는 신용환산 금액은?,2천만원,5천만원,3천만원,4천만원,4,미사용약정 40% 환산,근거 사실 F015를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,미사용약정 40% 환산,F015
QDBR-016,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-04,RESERVE,사례·적용형,4,"순자본 500억원, 총자산 1조원인 금고의 순자본비율은?",2%,4%,5%,10%,3,순자본/총자산×100,근거 사실 F016를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,순자본/총자산×100,F016
QDBR-017,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-04,RESERVE,사례·적용형,4,주택담보대출이 분할상환 요건을 충족하려면 만기는 최소 얼마 이상이어야 하는가?,1년,3년,5년,2년,2,분할상환 만기 3년+,근거 사실 F017를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,분할상환 만기 3년+,F017
QDBR-018,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-04,RESERVE,사례·적용형,4,체증식 주택담보대출의 연차별 원금상환액은 원리금균등 방식 연차별 원금상환액의 최소 얼마 이상이어야 하는가?,70%,80%,100%,50%,1,체증식 70%+,근거 사실 F018를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,체증식 70%+,F018
QDBR-019,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-04,RESERVE,사례·적용형,4,감독기준의 기본 위험가중치 체계로 옳은 것은?,10·20·40·80·100%,0·20·40·60·100%,0·10·30·50·100%,0·10·20·50·100%,4,0·10·20·50·100,근거 사실 F019를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별첨 1 재무상태표 자산의 위험가중치,0·10·20·50·100,F019
QDBR-020,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-04,RESERVE,사례·적용형,4,정상 또는 요주의로 분류된 전액담보 주거용주택 담보대출의 위험가중치는?,10%,20%,100%,50%,4,주택 전액담보 정상·요주의 = 50%,근거 사실 F020를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별첨 1 재무상태표 자산의 위험가중치,주택 전액담보 정상·요주의 = 50%,F020
QDBR-021,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-04,RESERVE,사례·적용형,4,기초자산이 불명확한 집합투자증권에 적용할 수 있는 최저 위험가중치는?,20%,10%,50%,0%,1,불명확 기초자산 최저 20%,근거 사실 F021를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별첨 1 재무상태표 자산의 위험가중치,불명확 기초자산 최저 20%,F021
QDBR-022,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-05,RESERVE,사례·적용형,4,경영실태평가 종합평점이 1.3인 경우 등급은?,2등급,1등급,3등급,4등급,2,1.0~1.4 = 1등급,근거 사실 F022를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 4 경영실태평가 등급산정 방법,1.0~1.4 = 1등급,F022
QDBR-023,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-05,RESERVE,사례·적용형,4,경영실태평가 종합평점이 2.0인 경우 등급은?,3등급,4등급,2등급,1등급,3,1.5~2.4 = 2등급,근거 사실 F023를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 4 경영실태평가 등급산정 방법,1.5~2.4 = 2등급,F023
QDBR-024,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-05,RESERVE,사례·적용형,4,경영실태평가 종합평점이 3.0인 경우 등급은?,2등급,5등급,4등급,3등급,4,2.5~3.4 = 3등급,근거 사실 F024를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 4 경영실태평가 등급산정 방법,2.5~3.4 = 3등급,F024
QDBR-025,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-05,RESERVE,사례·적용형,4,경영실태평가 종합평점이 4.0인 경우 등급은?,4등급,3등급,2등급,5등급,1,3.5~4.4 = 4등급,근거 사실 F025를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 4 경영실태평가 등급산정 방법,3.5~4.4 = 4등급,F025
QDBR-026,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-05,RESERVE,사례·적용형,4,경영실태평가 종합평점이 4.8인 경우 등급은?,2등급,5등급,4등급,3등급,2,4.5~5.0 = 5등급,근거 사실 F026를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 4 경영실태평가 등급산정 방법,4.5~5.0 = 5등급,F026
QDBR-027,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-02,RESERVE,사례·적용형,4,예·적금 담보의 회수예상가액 산정비율은?,90%,50%,100%,70%,3,예·적금 = 100%,근거 사실 F027를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 6 담보종류별 회수예상가액 산정기준,예·적금 = 100%,F027
QDBR-028,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-02,RESERVE,사례·적용형,4,시가 1억원인 아파트 담보의 회수예상가액 기준액은?,1억원,9천만원,5천만원,7천만원,4,아파트 = 시가 70%,근거 사실 F028를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 6 담보종류별 회수예상가액 산정기준,아파트 = 시가 70%,F028
QDBR-029,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-02,RESERVE,사례·적용형,4,대용가격은 없지만 시가가 있는 비상장주식의 평가비율은?,시가의 50%,시가의 90%,시가의 100%,시가의 70%,1,비상장주식 시가 50%,근거 사실 F029를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 6 담보종류별 회수예상가액 산정기준,비상장주식 시가 50%,F029
QDBR-030,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-02,RESERVE,사례·적용형,4,금융기관 보증부·담보부 비상장채권의 평가비율은 3년만기 회사채수익률 할인가액의 얼마인가?,50%,100%,90%,70%,3,보증부·담보부 비상장채권 90%,근거 사실 F030를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 6 담보종류별 회수예상가액 산정기준,보증부·담보부 비상장채권 90%,F030
QDBR-031,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-02,RESERVE,사례·적용형,4,기타 비상장채권의 평가비율은 3년만기 회사채수익률 할인가액의 얼마인가?,100%,70%,90%,50%,2,기타 비상장채권 70%,근거 사실 F031를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 6 담보종류별 회수예상가액 산정기준,기타 비상장채권 70%,F031
QDBR-032,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,SUP-02,RESERVE,사례·적용형,4,과태료 부과기준상 금고에 대한 기준금액은?,2천만원,1억원,1천만원,1백만원,1,금고 기준 2천만원,근거 사실 F032를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 10 과태료 부과기준,금고 기준 2천만원,F032
QDBR-033,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,SUP-02,RESERVE,사례·적용형,4,과태료 부과기준상 임직원에 대한 기준금액은?,5백만원,2백만원,1천만원,1백만원,4,임직원 기준 1백만원,근거 사실 F033를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 10 과태료 부과기준,임직원 기준 1백만원,F033
QDBR-034,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,SUP-02,RESERVE,사례·적용형,4,구속비율 10% 이상이고 고의인 경우 적용비율은 기준금액의 얼마인가?,25%,50%,100%,10%,3,10%+ 고의 = 100%,근거 사실 F034를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 10 과태료 부과기준,10%+ 고의 = 100%,F034
QDBR-035,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,SUP-02,RESERVE,사례·적용형,4,구속비율 7%이고 고의인 경우 적용비율은 기준금액의 얼마인가?,100%,50%,12.5%,25%,2,5~10% 고의 = 50%,근거 사실 F035를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 10 과태료 부과기준,5~10% 고의 = 50%,F035
QDBR-036,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,SUP-02,RESERVE,사례·적용형,4,구속비율 3%이고 과실인 경우 적용비율은 기준금액의 얼마인가?,12.5%,50%,25%,5%,1,2~5% 과실 = 12.5%,근거 사실 F036를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 10 과태료 부과기준,2~5% 과실 = 12.5%,F036
QDBR-037,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,SUP-02,RESERVE,사례·적용형,4,구속비율 1%이고 과실인 경우 적용비율은 기준금액의 얼마인가?,10%,12.5%,25%,5%,4,2% 미만 과실 = 5%,근거 사실 F037를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 10 과태료 부과기준,2% 미만 과실 = 5%,F037
QDBR-038,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-07,RESERVE,사례·적용형,4,프리워크아웃 채권이 변제계획대로 정상상환한 기간이 6개월 이상인 경우 가능한 분류조정은?,추정손실 유지,고정으로만 상향 가능,정상 분류변경 가능,회수의문으로만 변경,3,프리워크아웃 6개월 정상상환 → 정상 가능,근거 사실 F038를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 시행세칙 별표 9 채무조정 채권의 자산건전성 분류 조정 기준,프리워크아웃 6개월 정상상환 → 정상 가능,F038
QDBR-039,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-07,RESERVE,사례·적용형,4,자체 채무조정 채권이 요주의 상태에서 1년간 변제계획대로 상환한 경우 가능한 조정은?,고정으로 하향,정상 분류 가능,추정손실 처리,회수의문 유지,2,자체조정 요주의 → 1년 상환 → 정상,근거 사실 F039를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 시행세칙 별표 9 채무조정 채권의 자산건전성 분류 조정 기준,자체조정 요주의 → 1년 상환 → 정상,F039
QDBR-040,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-07,RESERVE,사례·적용형,4,고정이하 채무조정 채권을 “고정”으로 상향할 수 있는 상환기준으로 옳은 것은?,1년 이상만 상환,전체 상환기간의 1/4 이상 또는 2년 이상 상환,전체 상환기간의 1/2 이상만 가능,6개월 이상만 상환,2,고정 상향 = 1/4 또는 2년,근거 사실 F040를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 시행세칙 별표 9 채무조정 채권의 자산건전성 분류 조정 기준,고정 상향 = 1/4 또는 2년,F040
